Fault,Length,Strain rate
0,504.6599025766973,3.3336300000000003
1,16.25,1.7749599999999999
2,53.838834764831844,1.82372
3,74.96320343559643,2.8344400000000003
4,985.7564030267259,3.4710199999999998
5,21.76776695296637,2.02335
6,533.854076400856,3.5662599999999998
7,23.01776695296637,1.9713200000000002
8,511.38010677451695,2.7025799999999998
9,114.78553390593274,2.1232900000000003
10,102.58883476483184,2.2587099999999998
11,25.0,1.91992
12,11.767766952966369,2.0184
13,50.51776695296637,2.13733
14,23.75,1.7125
15,65.82106781186548,2.06455
16,23.01776695296637,1.9845400000000002
17,100.4809703885628,2.28611
18,52.80330085889911,1.7694
19,40.59838583077384,2.14165
20,12.5,1.92475
21,20.481456008918133,1.8249400000000002
22,111.12436867076458,2.3101700000000003
23,49.35660171779821,2.04866
24,27.5,1.8433099999999998
25,22.071067811865476,3.09998
26,11.25,1.76213
27,80.60660171779821,2.14842
28,41.84838583077384,1.90673
29,24.053300858899107,3.0436900000000002
30,80.82106781186548,2.1547099999999997
31,17.5,1.6831
32,44.98838098114321,2.00755
33,104.87436867076458,2.38633
34,11.25,1.66602
