Fault,Length,Strain rate
0,44.41421356237309,5.44746e-15
1,14.414213562373096,4.45083e-15
2,23.0,6.34608e-15
3,592.6303150917042,2.9329900000000005e-14
4,25.0,4.18074e-15
5,499.74011537017793,2.0716200000000002e-14
6,609.9533188057745,1.5422999999999998e-14
7,105.55634918610403,1.1233200000000001e-14
8,21.0,6.03244e-15
9,429.74011537017793,3.90485e-14
10,27.414213562373096,4.47052e-15
11,44.82842712474619,8.25905e-15
12,107.14213562373094,1.44821e-14
13,62.242640687119284,5.50593e-15
14,11.0,4.4655000000000005e-15
15,188.8994949366117,6.28062e-15
16,12.414213562373096,4.0795900000000005e-15
17,77.14213562373095,6.75925e-15
18,87.07106781186546,1.08443e-14
19,12.0,4.2809e-15
20,25.242640687119287,4.45192e-15
21,11.0,3.49923e-15
22,99.07106781186548,1.12795e-14
23,111.07106781186546,1.01917e-14
24,219.4558441227158,1.98718e-14
25,48.07106781186547,5.67798e-15
26,115.89949493661165,1.8907299999999992e-14
27,44.656854249492376,5.92195e-15
28,107.65685424949238,2.07321e-14
29,77.24264068711928,1.5417199999999998e-14
30,14.0,5.061419999999999e-15
31,66.24264068711928,8.85627e-15
32,17.0,4.01539e-15
33,51.828427124746185,1.22852e-14
34,25.0,7.085590000000001e-15
