Fault,Length,Strain rate
0,51.85660171779821,2.058
1,31.856601717798213,1.7652400000000001
2,179.92640687119285,2.23141
3,28.01776695296637,1.55351
4,41.85660171779821,1.9150099999999999
5,223.06158926637028,1.9595900000000002
6,13.017766952966369,1.5253
7,35.30330085889911,1.75035
8,21.25,1.7588
9,260.7842712474619,2.04928
10,17.285533905932738,1.6876799999999994
11,28.01776695296637,1.7299099999999998
12,718.1891231902745,2.0867299999999998
13,59.05330085889911,1.9222099999999998
14,32.28553390593274,1.63028
15,32.5,1.6800599999999999
16,17.5,1.7267400000000002
17,17.803300858899107,1.81266
18,49.35660171779821,2.19788
19,152.09505521938823,1.9717399999999994
20,261.2132034355964,1.9015099999999998
21,25.0,2.15313
22,13.75,1.7601
23,16.25,1.9507
24,39.78553390593274,1.98006
25,61.338834764831844,1.8548799999999999
26,46.03553390593274,1.9444700000000001
27,91.85660171779821,1.8597700000000001
28,241.60533905932738,1.9812599999999998
29,43.75,1.67245
30,41.03553390593274,1.71767
31,168.9276695296637,2.04497
32,39.26776695296637,1.71528
33,29.26776695296637,1.8788900000000002
34,25.0,1.821
35,47.28553390593274,1.81076
36,77.28553390593274,1.9103900000000003
37,128.83883476483186,2.28072
38,23.75,1.9632599999999998
39,11.25,1.49342
40,78.32106781186548,1.7727099999999998
41,30.0,1.80603
42,37.071067811865476,1.9418799999999992
43,12.5,1.7145599999999999
44,19.26776695296637,1.46596
45,23.535533905932738,1.8350099999999998
46,18.75,1.9381099999999998
