"strain_rate"
3.8995e-15
3.8956e-15
3.917e-15
3.917e-15
3.8956e-15
3.9121e-15
3.8709e-15
3.8687e-15
3.8995e-15
3.8995e-15
3.8687e-15
3.8956e-15
3.8956e-15
3.8651e-15
3.9121e-15
3.9121e-15
3.8651e-15
3.8798e-15
3.8687e-15
3.8403e-15
3.8956e-15
3.8956e-15
3.8403e-15
3.8651e-15
3.8119e-15
3.8117e-15
3.8704e-15
3.8704e-15
3.8117e-15
3.8681e-15
3.7447e-15
3.7466e-15
3.8119e-15
3.8119e-15
3.7466e-15
3.8117e-15
3.8117e-15
3.7873e-15
3.8681e-15
3.8681e-15
3.7873e-15
3.8399e-15
3.7466e-15
3.7261e-15
3.8117e-15
3.8117e-15
3.7261e-15
3.7873e-15
3.6534e-15
3.6581e-15
3.7442e-15
3.7442e-15
3.6581e-15
3.746e-15
3.5561e-15
3.5643e-15
3.6534e-15
3.6534e-15
3.5643e-15
3.6581e-15
3.6581e-15
3.6434e-15
3.746e-15
3.746e-15
3.6434e-15
3.7255e-15
3.5643e-15
3.5559e-15
3.6581e-15
3.6581e-15
3.5559e-15
3.6434e-15
3.444e-15
3.4561e-15
3.5555e-15
3.5555e-15
3.4561e-15
3.5637e-15
3.3292e-15
3.3455e-15
3.444e-15
3.444e-15
3.3455e-15
3.4561e-15
3.4561e-15
3.4558e-15
3.5637e-15
3.5637e-15
3.4558e-15
3.5556e-15
3.3455e-15
3.3531e-15
3.4561e-15
3.4561e-15
3.3531e-15
3.4558e-15
3.2081e-15
3.2292e-15
3.3289e-15
3.3289e-15
3.2292e-15
3.3454e-15
3.0866e-15
3.1119e-15
3.2081e-15
3.2081e-15
3.1119e-15
3.2292e-15
3.2292e-15
3.2457e-15
3.3454e-15
3.3454e-15
3.2457e-15
3.3534e-15
3.1119e-15
3.1366e-15
3.2292e-15
3.2292e-15
3.1366e-15
3.2457e-15
2.9643e-15
2.9939e-15
3.087e-15
3.087e-15
2.9939e-15
3.1124e-15
2.842e-15
2.8749e-15
2.9643e-15
2.9643e-15
2.8749e-15
2.9939e-15
2.9939e-15
3.0264e-15
3.1124e-15
3.1124e-15
3.0264e-15
3.1373e-15
2.8749e-15
2.9141e-15
2.9939e-15
2.9939e-15
2.9141e-15
3.0264e-15
2.7197e-15
2.7557e-15
2.8429e-15
2.8429e-15
2.7557e-15
2.8758e-15
2.5965e-15
2.6346e-15
2.7197e-15
2.7197e-15
2.6346e-15
2.7557e-15
2.7557e-15
2.8003e-15
2.8758e-15
2.8758e-15
2.8003e-15
2.915e-15
2.6346e-15
2.6835e-15
2.7557e-15
2.7557e-15
2.6835e-15
2.8003e-15
2.4707e-15
2.5106e-15
2.5974e-15
2.5974e-15
2.5106e-15
2.6353e-15
2.3429e-15
2.3841e-15
2.4707e-15
2.4707e-15
2.3841e-15
2.5106e-15
2.5106e-15
2.5628e-15
2.6353e-15
2.6353e-15
2.5628e-15
2.6842e-15
2.3841e-15
2.4387e-15
2.5106e-15
2.5106e-15
2.4387e-15
2.5628e-15
2.2104e-15
2.2522e-15
2.3436e-15
2.3436e-15
2.2522e-15
2.3846e-15
2.0752e-15
2.1176e-15
2.2104e-15
2.2104e-15
2.1176e-15
2.2522e-15
2.2522e-15
2.3082e-15
2.3846e-15
2.3846e-15
2.3082e-15
2.4391e-15
2.1176e-15
2.1747e-15
2.2522e-15
2.2522e-15
2.1747e-15
2.3082e-15
1.935e-15
1.9767e-15
2.0758e-15
2.0758e-15
1.9767e-15
2.1179e-15
1.7915e-15
1.8334e-15
1.935e-15
1.935e-15
1.8334e-15
1.9767e-15
1.9767e-15
2.0333e-15
2.1179e-15
2.1179e-15
2.0333e-15
2.1747e-15
1.8334e-15
1.8901e-15
1.9767e-15
1.9767e-15
1.8901e-15
2.0333e-15
1.6436e-15
1.6841e-15
1.7915e-15
1.7915e-15
1.6841e-15
